"Mage_Customer::By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte sur notre boutique, vous pourrez passer vos commandes plus rapidement, enregistrer plusieurs adresses de livraison, consulter et suivre vos commandes, et plein d'autres choses encore."
"Mage_Customer::New Customers","NOUVEAUX CLIENTS"
"Mage_Customer::Registered Customers","DEJA CLIENTS"
"Mage_Customer::If you have an account with us, please log in.","Si vous avez déjà un compte, veuillez vous identifier."
"Mage_Customer::Forgot Your Password","Mot de passe oublié ?"
"Mage_Checkout::Discount Codes","Code de réduction"
"Mage_Customer::Sign Up for Newsletter","Abonnez-vous à la newsletter"
"Mage_Catalog::Login or Create an Account","Identifiez-vous ou créez un compte"
"Mage_Catalog::Log in to see prices","Se connecter pour voir les prix"
"Mage_Catalog::Log in","Se connecter"
"Mage_Catalog::Create an account","Créer un compte"
