"""%s"" contains not only digit characters.","""%s"" doit contenir uniquement des chiffres."
"""%s"" does not fit the entered date format.","""%s"" ne correspond pas au format de date saisi."
"""%s"" exceeds the allowed file size.","""%s"" excède la taille maxi autorisée pour les fichiers."
"""%s"" exceeds the allowed length.","""%s"" excède la longueur autorisée."
"""%s"" has not only alphabetic and digit characters.","""%s"" doit contenir uniquement des caractères alphanumériques."
"""%s"" has not only alphabetic characters.","""%s"" doit contenir uniquement des caractères alphabétiques."
"""%s"" height exceeds allowed value of %s px.","La hauteur de ""%s"" excède la valeur de %s px."
"""%s"" invalid type entered.","Le type de ""%s"" saisi est invalide."
"""%s"" is a required value.","""%s"" est une valeur obligatoire."
"""%s"" is an empty string.","""%s"" est une chaîne vide."
"""%s"" is not a valid URL.","""%s"" n'est pas une URL valide."
"""%s"" is not a valid date.","""%s"" n'est pas une date valide."
"""%s"" is not a valid email address.","""%s"" n'est pas un email valide."
"""%s"" is not a valid file","""%s"" n'est pas un fichier valide."
"""%s"" is not a valid file extension.","""%s"" n'est pas une extension de fichier valide."
"""%s"" is not a valid file.","""%s"" n'est pas un fichier valide."
"""%s"" is not a valid hostname.","""%s"" n'est pas un nom d'hôte valide."
"""%s"" is not a valid image format","""%s"" n'est pas un format d'image valide"
"""%s"" length must be equal or greater than %s characters.","La longueur de ""%s"" doit être supérieure ou égale à %s caractères."
"""%s"" width exceeds allowed value of %s px.","La largeur de ""%s"" excède la valeur de %s px."
"* Required Fields","* Champs obligatoires"
"A new password has been sent.","Un nouveau mot de passe a été envoyé."
"ALL GROUPS","TOUS LES GROUPES"
"Account Dashboard","Tableau de bord du compte"
"Account Information","Informations du compte"
"Account Sharing Options","Options de partage de compte"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Vous devez confirmer la création de compte. Pour ce faire, un email vous a été envoyé contenant le lien de confirmation. Si vous ne l'avez pas reçu, vérifiez votre filtre anti spam ou <a href=""%s"">cliquez ici</a> pour envoyer l'email à nouveau."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Une confirmation de création de compte est nécessaire. Vérifiez votre boîte mail et cliquez sur le lien de confirmation qui vous a été envoyé. Pour envoyer de nouveau l'email de confirmation, <a href=""%s"">cliquez ici</a>"
"Action","Action"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Customer","Ajouter un nouveau client"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Added From","Ajouté depuis"
"Additional Address Entries","Saisies d'adresses supplémentaires"
"Address","Adresse"
"Address Book","Carnet d'adresses"
"Address Books","Carnets d'adresses"
"Address Information","Informations d'adresse"
"Address Templates","Gabarit d'adresse"
"Addresses","Adresses"
"Admin","Administration"
"All","Tous"
"All Store Views","Toutes les vues magasin"
"All countries","Tous les pays"
"Always optional.","Toujours optionnel."
"Amount","Montant"
"An error occurred while deleting the address.","Erreur lors de la suppression de l'adresse."
"An error occurred while retrieving the option value: %s.","Erreur lors de la récupération de la valeur d'option : %s."
"An error occurred while saving the collection, aborting. Error: %s","Erreur lors de la sauvegarde de la collection. Erreur : %s."
"An invalid option ID is specified for %s (%s), skipping the record.","Identifiant d'option invalide pour %s (%s), ligne ignorée."
"Approved","Approuvé"
"Are you sure that you want to remove this item?","Êtes-vous sûr(e) de vouloir retirer cet article ?"
"Are you sure you want to cancel adding of this address?","Êtes-vous sûr(e) de vouloir annuler l'ajout de cette adresse ?"
"Are you sure you want to delete this address?","Êtes-vous sûr(e) de vouloir effacer cette adresse ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Array of Entity collections is expected.","Tableau de collections d'entités attendu."
"Assign a Customer Group","Assigner un groupe clients"
"Attribute object is undefined","L'objet attribut est indéfini"
"Average Sale","Ventes moyennes"
"Back","Retour"
"Back - link to the previously viewed page","Retour - Lien vers la dernière page visitée"
"Back to Login","Retour à l'identification"
"Bad request.","Non trouvé."
"Bill to Name","Nom (Fact.)"
"Bought From","Acheté sur"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Le chocolat est votre péché mignon ! Vous craquez pour une gourmandise devant la télé ? En panne d'idée cadeau ? <br /><br />Ne perdez plus de temps à saisir vos coordonnées, enregistrez les et profitez de l'offre de Bienvenue. <strong>200 pépites fidélité vous sont offertes à la création de votre compte !</strong>"
"CSV","CSV"
"Cancel","Annuler"
"Cannot save address.","Impossible de sauvegarder l'adresse."
"Cannot save the customer.","Impossible de sauvegarder le client."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Impossible de partager les comptes clients globalement car il existe des comptes avec le même emails sur plusieurs sites web qui ne peuvent pas être fusionnés."
"Change Account Password","Modifier le mot de passe du compte"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Password","Modifier le mot de passe"
