"Points","pépites"
"Point","pépite"
"Not enough points for transaction. You have %s, but you need %s","Vous n'avez pas assez de pépites pour la transaction. Vous avez %s, mais il faut %s"
"Sent points to a friend,","Envoyer des pépites à un ami,"
"Received points from a friend,","Pépites reçues d'un ami,"
"Not enough points for transaction. You have %s, but you need %s.","Vous n'avez pas assez de pépites pour la transaction. Vous avez %s, mais il faut %s."
"You received %s for signing up!","Vous avez reçu %s pour votre inscription ! "
"Could not transfer points.","Les pépites n'ont pas été transférées."
"Full","Complet"
"Long","Long"
"Short","Court"
"You received %s for signing up to a newsletter","Vous avez reçu %s pour votre inscription à la newsletter"
"Could not interface with customer rewards system.","Connexion impossible avec le système pépites de fidélité."
"You received %s for voting","Vous avez reçu %s pour votre vote"
"Please log in, or sign up to apply point redemptions!","Connectez-vous, ou inscrivez-vous pour utiliser le système de pépites de fidélité!"
"Unable to load the redeem points hash","Impossible de charger le système d'échange de pépites"
"You will receive %s upon approval of this review","Vous recevrez %s après vérification de ce commentaire"
"You received %s for sending your friend this product","Vous recevrez %s pour avoir envoyé cet article à votre ami(e)"
"No points","Aucune pépite"
"No Points","Aucune Pépite"
"You will receive %s upon approval of this tag.","Vous recevrez %s après validation de ce tag."
"Click to see a breakdown of how your points affect this line item.","Cliquez pour voir la façon dont vos pépites modifient ce(s) article(s)"
"Points Spent","Pépites utilisées"
"off","de réduction"
"No points.","Aucune pépite."
"Points Earned","Pépites gagnées"
"as low as","dès"
"with","avec"
"Redeem Your Points","Obtenir une remise avec ses pépites fidélité"
"Send Points to a Friend","Envoyer des pépites à un(e) ami(e)"
"Transfer Manager","Gestionnaire de transfert"
"Currency Manager","Gestionnaire de monnaies"
"Add Currency","Ajouter une monnaie"
"Special Points Rules","Règle de pépites spéciale"
"Add New Special Rule","Ajouter une nouvelle règle spéciale"
"Spends X Points","Utiliser X pépites"
"Spends X points for every Y dollar amount in price","Utiliser X pépites pour chaque Y euro du montant du prix"
"[WARN:ALPHA] For every X points spent, discount Y from price","[ATTENTION:ALPHA] Pour chaque X pépites dépensé, déduire Y du prix"
"--Don\'t Transfer Points--","--Ne pas transférer de pépites--"
"Give X points to customer","Donner X pépites au client"
"For every Y dollar amount in PRICE, give X points","Pour chaque Y euro du montant du prix, donner x pépites"
"Deduct X points from customer","Déduire X pépites au client"
"For every Y amount spent, deduct X points","Pour chaque Y montant dépensé, déduire X pépites"
"An error occured trying to apply the redemption while adding the product to your cart:","Une erreur est survenue en tentant d'appliquer l'échange de pépites pendant que vous ajoutiez l'article au panier:"
"For every Z qty purchased, deduct X points","Pour chaque quantité Z achetée, déduire X pépites"
"For every X points spent, discount Y from price","Pour chaque X pépites dépensés, déduire Y du prix"
"For every X points spent,discount Y","Pour chaque X pépites dépensés, remise de Y"
"For every Y amount spent, give X points","Pour chaque Y montant dépensé, donner X pépites"
"For every Z qty purchased, give X points","Pour chaque Z quantité achetée, donner X pépites"
"Writes review","Écrire un commentaire"
"Rates a product","Noter un article"
"Signs up","Inscriptions"
"Votes in poll","Voix au sondage"
"Sends product to friend","Envoyer cet article à un(e) ami(e)"
"Signs up for a newsletter","Inscription à la newsletter"
"Makes a new tag","Créer un nouveau tag"
"Points Distribution","Distribution de pépites"
"Points Redeemed on Order","Échange de pépites par commande"
"System Adjustment","Système d'ajustement"
"Points Received From a Friend","Pépites reçues d'un(e) ami(e)"
"Points Given To a Friend","Pépites données à un(e) ami(e)"
"Points Revoked","Pépites annulées"
"Administrative Adjustment","Ajustement administratif"
"WARNING: UNSPECIFIED REASO","ATTENTION: RAISON NON SPÉCIFIÉE"
"Poll","Sondage"
"Rating","Évaluation"
"Transfer","Transfert"
"Signup","Inscription"
"To Friend","à un(e) ami(e)"
"From Friend","d'un(e) ami(e)"
"A valid redemption id to apply to this cart was not selected.","Un identifiant valide d'échange de pépites n'a pas été sélectionné pour ce panier."
"The rule","La règle"
"You do have have enough %s Points.","Vous n'avez pas assez de %s pépites."
"The rule entitled","La règle nommée"
"All requested reward redemptions were applied to your cart","Tous les échanges de pépites demandés ont été appliqués à votre panier"
"An error occured while trying to apply the redemption to your cart.","Une erreur est survenue en essayant d'appliquer l'échange de pépites à votre panier."
"All requested reward redemptions were removed from your cart","Tous les échanges de pépites demandés ont été retirés de votre panier"
"An error occured while trying to remove the redemption from your cart.","Une erreur est survenue en essayant d'annuler l'échange de pépites de votre panier."
"Please log in or sign up to apply point redemptions!","Identifiez-vous ou inscrivez-vous pour utiliser vos pépites,"
"An item was not selected or the item selected was invalid","Aucun article n'est sélectionné ou l'article sélectionné n'est pas valide"
"A valid redemption id to apply to this product was not selected.","Un identifiant valide d'échange de pépites n'a pas été selectionné pour cet article."
"All requested reward redemptions were applied to the product.","Tous les échanges de pépites demandés ont été appliquées à cet article."
"All requested reward redemptions were removed from the product.","Tous les échanges de pépites demandés ont été retirés du produit."
"Sorry, you are not authorized to be access this section.","Désolé, vous n'êtes pas autorisé à accéder à cette section."
"There is no customer with that email address (%s).","Il n'y a aucun client avec cette adresse e-mail (%s)."
"%s is not allowed to use the %s points currency.","%s n'est pas autorisé à utiliser la monnaie de pépites."
"You must log in or sign up before sending points to a friend!","Vous devez vous identifier ou vous inscrire, avant d'envoyer des pépites à un(e) ami(e)!"
"You cannot send %s points to %s when you only have %s!","Vous ne pouvez pas envoyer %s pépites à %s, vous n'en avez que %s!"
"You have successfully sent %s to %s!","Vous avez envoyé avec succès %s à %s!"
"Currency does not exist","Cette monnaie n'existe pas"
"Can not create currencies. Available in future upgrades of Sweet Tooth.","Impossible de créer des monnaies. Disponible dans les prochaines mise à jour de Sweet Tooth."
"currency was successfully saved","La monnaie a été sauvegardée avec succès."
"Can not delete currency. Available in future upgrades of Sweet Tooth.","Impossible d'effacer des monnaies. Disponible dans les prochaines mise à jour de Sweet Tooth."
"Can not execute a mass delete","Impossible  d'effectuer un effacement groupé"
"Please select transfer(s)","Sélectionnez un des transfert(s)"
"Transfer does not exist","Ce transfert n'existe pas"
"Transfer was successfully saved","Le transfert a été enregistré avec succès"
"Edit User","Modifier l'utilisateur "
"Rating isn","Évaluation"
"All Point Transfers","Tous les transferts de pépites"
"You will be redirected to Amazon Checkout website when you place an order.","Vous allez être redirigé vers le site Amazon après votre commande."
"Checkout by Amazon","Commander avec Amazon"
"Search results for","Rechercher parmi les résultats"
"Before Points","Avant pépites"
"You","Vous"
"You will be redirected to Google Checkout website when you place an order.","Vous allez être redirigé vers le site Google-Checkout après votre commande."
"Fast checkout through Google","Commande rapide via Google"
"Paypal UK Checkout","Paypal UK Checkout"
"My Points and Rewards","Mes Pépites et Cadeaux"
"Tags Aren","Tags Aren"
"Use spaces to separate tags. Use single quotes (","Utiliser un espace pour séparer les tags. Utiliser des guillemets simples ("
"Search Results for","Rechercher parmi les résultats"
"Products tagged with","Articles tagués avec : "
"Edit Category ","Editer la catégorie  "
"Edit Comment By","Modifier le commentaire de  "
"Email Address","Adresse e-mail"
"Save Currency","Sauvegarder la monnaie"
"Delete Transfer","Effacer le transfert"
"Edit Currency #%s","Modifier la monnaie #%s"
"Create New Currency","Créer une nouvelle monnaie"
"Is Active","est actif"
"Catalog Points Rules","Règle de pépites catalogue"
"Shopping Cart Points Earning Rules","Règles de pépites panier d'achat"
"Edit Rule","Modifier la règle"
"Save Transfer","Sauvegarder le transfert"
"Create A New Transfer","Créer un nouveau transfert"
"Revoke Transfer","Annuler le transfert"
"Edit Transfer #%s","Modifier le transfert #%s"
"Created Time","Heure de création"
"Customer ID","ID client"
"Reason","Raison"
"Comments/Notes","Commentaires/Notes"
"You are trying to redeem more points than you have in","Vous essayez d'utiliser plus de pépites que vous en avez dans"
"You are trying to redeem points but you","Vous essayez d'utiliser des pépites, mais vous"
"<i>No points</i>.","<i>Pas de pépites</i>."
"Please enter a number more than zero (0).","Veuillez entrer un chiffre plus grand que zero (0)."
"Could not approve points.","Impossible d'approuver les pépites."
"Failed to transfer points to customer %s","Échec du transfert de pépites au client : %s"
"Successfully transfered %s to %s customer(s).","Succès du transfert de %s pépites à %s client(s)."
"Woops, ran into error while trying to process your request:","Woops, erreur en essayant de traiter votre demande :"
"Catalog Point Rule","Règle de pépites catalogue"
"You must still APPLY rules before they will take effect!","Vous devez toujours appliquer les règles pour qu'elles prennent effet!"
"The rule you are trying to delete no longer exists","La règle, que vous essayez de supprimer, n'existe plus"
"Please use in this field only","N'utilisez que ce champ"
"Currency Image Preview","Prévisualisation de l'image de la monnaie"
"Customer Point Balances","Solde de pépites des clients"
"Customer Point Distributions","Distribution de pépites aux clients"
"Customer Point Redemptions","Échange de pépites client"
"Your billing address will be ignored and you will be redirected to Amazon Simple Pay website.","Votre adresse de facturation sera ignorée et vous serez redirigé vers le site Amazon Simple Pay."
"You will be redirected to Amazon Simple Pay in a few seconds.","Vous allez être redirigé vers Amazon Simple Pay dans quelques secondes."
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Votre adresse de facturation sera ignorée, et vous serez redirigé vers le site Web d'Amazon."
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d'article(s)</strong> ont été trouvés en utilisant les critères de recherche suivants"
"Don","Don"
"Keep me logged in","Garder ma session ouverte"
"Use Your Rewards Points!","Utiliser les pépites de votre compte !"
"Your redemptions:","Vos échanges de pépites :"
"You have applied no redemptions to this cart.","Vous n'avez pas utilisé de pépites pour ce panier."
"More ways to redeem:","Plus d'articles du programme de fidélité :"
